Item Name,Rate
USG of Nuchal Translucency (NT)scan,3000
USG of RT Breast,2000
USG of RT Thigh,700
USG of SONO HYSTEROSALPHINGOGRAPHY,2200
USG of Thyroid - 2D,1200
USG of Twin pregnancy,2500
USG of pregnancy with biophysical profile,2500
USG of submental region,1800
USG- Trans Rectal-prostate,2000
Vein mapping of lt./RT. Upper limb,4500
Colonoscopy With Shrot G/A,2000
B/V Sacrococygeal Digital,700
Both shoulder a/p view,1000
D/L SPINE B/V (X-RAY ) Digital,800
Elbow Jt B/V (Digital),700
Hand B/V (Digital),700
Heel B/V (Digital),600
Humars B/V (Digital),700
Knee Jt B/V (Digital),700
LEFT HIP OBLIQUE VIEW,500
LT. ANKLE WITH LOWER LEG B/V (DIGITAL),800
Leg B/V (Digital),700
OPG,450
RT Leg & Lower Leg,700
RT/LT FEMUR INCLUDING KNEE (AP & LAT VIEW),700
Wrist B/V,700
X Ray-Chest P/A View,500
X-RAY LT FOREARM WITH ELBOW AND WRIST JT B/V (DIGITAL),800
X-RAY lumbosacral (L/S) Spine B/V(Digital),700
X-RAY Abdomen in Erect Posture (Digital ),700
X-RAY Acromioclavicular Joint LT. A/P View,500
X-RAY Acromioclavicular Joint RT. A/P View,500
X-RAY Ankle Mortise LT. B/V,600
X-RAY Ankle Mortise RT. B/V,600
X-RAY BOTH Scapula B/V,1300
X-RAY Bone Age P/A View,500
X-RAY Both Hip A/P View (Digital),700
X-RAY Both TIM joint AP lateral view (Digital),700
X-RAY Both shoulder A/P view,800
X-RAY Both thigh B/V,1300
X-RAY Both wrist joint B/V (Digital),1000
X-RAY Cervical Spine A/P View,500
X-RAY Cervical Spine B/V (Digital),800
X-RAY Cervical Spine Both oblique view,800
X-RAY Cervical Spine LT. Lat View,500
X-RAY Cervical Spine LT. Oblique View,500
"X-RAY Cervical Spine RT, Oblique View",500
X-RAY Cervical Spine RT. Lat View,500
X-RAY Cervical Spine flexion-extension View,700
X-RAY Cervical lateral view,500
X-RAY Chest AP view (Digital),500
X-RAY Chest Apical View,500
X-RAY Chest B/V (Digital),800
X-RAY Chest Decubitus view,500
X-RAY Chest LT. Oblique view,500
X-RAY Chest LT. oblique view (Digital),500
X-RAY Chest P/A View (100%),500
X-RAY Chest P/A View (Digital),500
X-RAY Chest RT. Oblique view,500
X-RAY Chest RT. Oblique view (Digital),500
X-RAY Chest Right lateral view (Digital),500
X-RAY Chest for Ribs A/P View,500
X-RAY Chest left lateral view (Digital),500
X-RAY Chest lordotic view,500
X-RAY Clavical AP (Digital),500
X-RAY Coccyx B/V,700
X-RAY Dorsal Spine A/P View,500
X-RAY Dorsal Spine B/V,700
X-RAY Dorsal Spine LT. Lat View,500
X-RAY Dorsal Spine LT. Oblique View,500
X-RAY Dorsal Spine RT. Lat View,500
X-RAY Dorsal Spine RT. Oblique view,500
X-RAY Dorsal spine AP,500
X-RAY Dorsal spine lateral view (Digital),500
X-RAY Dorso Lumber LT. Oblique View,500
X-RAY Dorso Lumber RT. Lat View,500
X-RAY Dorso Lumber RT. Oblique view,500
X-RAY Dorso Lumber Spine A/P View,500
X-RAY Dorso Lumber Spine LT. Lat View,500
X-RAY Dorso Lumber spine flexion-extension View,700
X-RAY Dorso lumber Spine B/V (Digital),700
X-RAY Elbow Joint Including Forearm LT. B/V,800
X-RAY Elbow Joint Including Forearm RT. B/V,800
X-RAY Face B/V ( Digital),700
X-RAY Face lateral view (Digital),500
